original_filename,tpl_name,version
com.android.support.preference-v7.24.0.0.jar,com.android.support.preference-v7,24.0.0
com.android.support.recyclerview-v7.24.0.0.jar,com.android.support.recyclerview-v7,24.0.0
com.android.support.recyclerview-v7.23.0.1.jar,com.android.support.recyclerview-v7,23.0.1
com.android.support.recyclerview-v7.23.2.1.jar,com.android.support.recyclerview-v7,23.2.1
com.android.support.recyclerview-v7.23.2.0.jar,com.android.support.recyclerview-v7,23.2.0
com.android.support.recyclerview-v7.22.2.1.jar,com.android.support.recyclerview-v7,22.2.1
com.android.support.recyclerview-v7.22.2.0.jar,com.android.support.recyclerview-v7,22.2.0
com.android.support.recyclerview-v7.23.4.0.jar,com.android.support.recyclerview-v7,23.4.0
com.android.support.recyclerview-v7.23.3.0.jar,com.android.support.recyclerview-v7,23.3.0
com.android.support.recyclerview-v7.23.1.0.jar,com.android.support.recyclerview-v7,23.1.0
com.android.support.recyclerview-v7.23.1.1.jar,com.android.support.recyclerview-v7,23.1.1
com.android.support.recyclerview-v7.21.0.0.jar,com.android.support.recyclerview-v7,21.0.0
com.android.support.recyclerview-v7.22.1.1.jar,com.android.support.recyclerview-v7,22.1.1
com.android.support.recyclerview-v7.21.0.3.jar,com.android.support.recyclerview-v7,21.0.3
com.android.support.recyclerview-v7.21.0.2.jar,com.android.support.recyclerview-v7,21.0.2
com.android.support.support-v13.23.4.0.jar,com.android.support.support-v13,23.4.0
com.android.support.support-v13.23.1.1.jar,com.android.support.support-v13,23.1.1
com.android.support.support-v13.23.1.0.jar,com.android.support.support-v13,23.1.0
com.android.support.support-v13.21.0.0.jar,com.android.support.support-v13,21.0.0
com.android.support.support-v4.24.0.0.jar,com.android.support.support-v4,24.0.0
support-v4-19.1.0.jar,com.android.support.support-v4,19.1.0
com.android.support.support-v4.19.1.0.jar,com.android.support.support-v4,19.1.0
com.android.support.support-v4.24.0.0-beta1.jar,com.android.support.support-v4,24.0.0-beta1
support-v4-18.0.0.jar,com.android.support.support-v4,18.0.0
com.android.support.support-v4.18.0.0.jar,com.android.support.support-v4,18.0.0
com.android.support.support-v4.23.2.0.jar,com.android.support.support-v4,23.2.0
com.android.support.support-v4.23.2.1.jar,com.android.support.support-v4,23.2.1
com.android.support.support-v4.23.0.1.jar,com.android.support.support-v4,23.0.1
com.android.support.support-v4.23.0.0.jar,com.android.support.support-v4,23.0.0
com.android.support.support-v4.23.4.0.jar,com.android.support.support-v4,23.4.0
com.android.support.support-v4.22.0.0.jar,com.android.support.support-v4,22.0.0
com.android.support.support-v4.22.2.0.jar,com.android.support.support-v4,22.2.0
com.android.support.support-v4.22.2.1.jar,com.android.support.support-v4,22.2.1
com.android.support.support-v4.23.1.1.jar,com.android.support.support-v4,23.1.1
com.android.support.support-v4.23.1.0.jar,com.android.support.support-v4,23.1.0
com.android.support.support-v4.20.0.0.jar,com.android.support.support-v4,20.0.0
com.android.support.support-v4.23.3.0.jar,com.android.support.support-v4,23.3.0
com.android.support.support-v4.21.0.2.jar,com.android.support.support-v4,21.0.2
com.android.support.support-v4.21.0.3.jar,com.android.support.support-v4,21.0.3
com.android.support.support-v4.22.1.1.jar,com.android.support.support-v4,22.1.1
com.android.support.support-v4.21.0.0.jar,com.android.support.support-v4,21.0.0
com.android.support.support-vector-drawable.23.3.0.jar,com.android.support.support-vector-drawable,23.3.0
com.android.support.support-vector-drawable.23.4.0.jar,com.android.support.support-vector-drawable,23.4.0
com.android.support.support-vector-drawable.24.0.0-beta1.jar,com.android.support.support-vector-drawable,24.0.0-beta1
com.android.support.support-vector-drawable.23.2.1.jar,com.android.support.support-vector-drawable,23.2.1
com.android.support.support-vector-drawable.23.2.0.jar,com.android.support.support-vector-drawable,23.2.0
com.android.support.support-vector-drawable.24.0.0.jar,com.android.support.support-vector-drawable,24.0.0
com.balysv.material-ripple.1.0.2.jar,com.balysv.material-ripple,1.0.2
com.bignerdranch.android.recyclerview-multiselect.0.2.jar,com.bignerdranch.android.recyclerview-multiselect,0.2
com.cocosw.bottomsheet.1.3.0.jar,com.cocosw.bottomsheet,1.3.0
com.commit451.bypasses.1.0.1.jar,com.commit451.bypasses,1.0.1
com.commit451.PhotoView.1.2.4.jar,com.commit451.PhotoView,1.2.4
com.commit451.PhotoView.1.2.5.jar,com.commit451.PhotoView,1.2.5
com.github.chrisbanes.PhotoView.1.2.6.jar,com.commit451.PhotoView,1.2.6
com.github.chrisbanes.photoview.library.1.2.3.jar,com.commit451.PhotoView,1.2.3
com.github.chrisbanes.photoview.library.1.2.4.jar,com.commit451.PhotoView,1.2.4
library-1.2.2.jar,com.commit451.PhotoView,1.2.2
com.davemorrissey.labs.subsampling-scale-image-view.3.5.0.jar,com.davemorrissey.labs.subsampling-scale-image-view,3.5.0
com.davemorrissey.labs.subsampling-scale-image-view.3.4.1.jar,com.davemorrissey.labs.subsampling-scale-image-view,3.4.1
com.dougkeen.bart_33_src.tar.gz.drag-sort-listview-gradle.unspecified.jar,com.dougkeen.bart_33_src.tar.gz.drag-sort-listview-gradle,0
com.einmalfel.earl.1.1.0.jar,com.einmalfel.earl,1.1.0
com.getbase.floatingactionbutton.1.9.0.jar,com.getbase.floatingactionbutton,1.9.0
com.getbase.floatingactionbutton.1.9.1.jar,com.getbase.floatingactionbutton,1.9.1
com.getbase.floatingactionbutton.1.10.0.jar,com.getbase.floatingactionbutton,1.10.0
com.github.afollestad.material-dialogs.commons.0.8.5.4.jar,com.github.afollestad.material-dialogs.commons,0.8.5.4
com.github.afollestad.material-dialogs.commons.0.8.5.8.jar,com.github.afollestad.material-dialogs.commons,0.8.5.8
com.github.afollestad.material-dialogs.core.0.8.5.8.jar,com.github.afollestad.material-dialogs.core,0.8.5.8
com.github.afollestad.material-dialogs.core.0.8.5.2.jar,com.github.afollestad.material-dialogs.core,0.8.5.2
com.github.afollestad.material-dialogs.core.0.8.5.3.jar,com.github.afollestad.material-dialogs.core,0.8.5.3
com.github.afollestad.material-dialogs.core.0.8.5.4.jar,com.github.afollestad.material-dialogs.core,0.8.5.4
com.github.AndroidDeveloperLB.MaterialPreferenceLibrary.5.jar,com.github.AndroidDeveloperLB.MaterialPreferenceLibrary,5
com.github.bumptech.glide.okhttp-integration.1.4.0.jar,com.github.bumptech.glide.okhttp-integration,1.4.0
com.github.clans.fab.1.5.0.jar,com.github.clans.fab,1.5.0
com.github.curioustechizen.android-ago.library.1.3.1.jar,com.github.curioustechizen.android-ago.library,1.3.1
com.github.DASAR.ShiftColorPicker.v0.5.jar,com.github.DASAR.ShiftColorPicker,v0.5
com.github.dmfs.color-picker.c3b3b52033dc0b33bd831e731ec6f74fb1e8a69a.jar,com.github.dmfs.color-picker,c3b3b52033dc0b33bd831e731ec6f74fb1e8a69a
com.github.gabrielemariotti.changeloglib.changelog.2.1.0.jar,com.github.gabrielemariotti.changeloglib.changelog,2.1.0
com.github.ganfra.material-spinner.1.1.0.jar,com.github.ganfra.material-spinner,1.1.0
com.github.johnkil.android-appmsg.appmsg.1.2.0.jar,com.github.johnkil.android-appmsg.appmsg,1.2.0
com.github.lzyzsd.circleprogress.1.1.0.jar,com.github.lzyzsd.circleprogress,1.1.0
com.github.medyo.fancybuttons.1.5.jar,com.github.medyo.fancybuttons,1.5
com.github.mrengineer13.snackbar.1.2.0.jar,com.github.mrengineer13.snackbar,1.2.0
com.github.navasmdc.MaterialDesign.1.4.jar,com.github.navasmdc.MaterialDesign,1.4
com.github.nirhart.parallaxscroll.1.0.jar,com.github.nirhart.parallaxscroll,1.0
com.github.orhanobut.logger.1.12.jar,com.github.orhanobut.logger,1.12
com.github.paolorotolo.appintro.3.2.0.jar,com.github.paolorotolo.appintro,3.2.0
com.github.paolorotolo.appintro.3.4.0.jar,com.github.paolorotolo.appintro,3.4.0
com.github.rey5137.material.1.2.2.jar,com.github.rey5137.material,1.2.2
com.github.yukuku.ambilwarna.2.0.1.jar,com.github.yukuku.ambilwarna,2.0.1
com.google.android.exoplayer.exoplayer.r1.5.5.jar,com.google.android.exoplayer.exoplayer,r1.5.5
com.google.android.exoplayer.exoplayer.r1.5.7.jar,com.google.android.exoplayer.exoplayer,r1.5.7
com.greysonparrelli.permiso.permiso.0.1.3.jar,com.greysonparrelli.permiso.permiso,0.1.3
com.iangclifton.android.floatlabel.1.0.1.jar,com.iangclifton.android.floatlabel,1.0.1
com.inkapplications.viewpageindicator.library.2.4.3.jar,com.inkapplications.viewpageindicator.library,2.4.3
com.jakewharton.butterknife.8.0.1.jar,com.jakewharton.butterknife,8.0.1
com.jaredrummler.android-processes.1.0.3.jar,com.jaredrummler.android-processes,1.0.3
com.jenzz.materialpreference.1.3.jar,com.jenzz.materialpreference,1.3
com.jjoe64.graphview.4.0.1.jar,com.jjoe64.graphview,4.0.1
com.joanzapata.iconify.android-iconify.2.2.1.jar,com.joanzapata.iconify.android-iconify,2.2.1
com.joanzapata.iconify.android-iconify-material-community.2.2.1.jar,com.joanzapata.iconify.android-iconify-material-community,2.2.1
com.journeyapps.zxing-android-embedded.3.0.3.jar,com.journeyapps.zxing-android-embedded,3.0.3
com.journeyapps.zxing-android-embedded.3.0.2.jar,com.journeyapps.zxing-android-embedded,3.0.2
com.jpardogo.googleprogressbar.library.1.2.0.jar,com.jpardogo.googleprogressbar.library,1.2.0
com.jpardogo.materialtabstrip.library.1.0.6.jar,com.jpardogo.materialtabstrip.library,1.0.6
com.jpardogo.materialtabstrip.library.1.1.0.jar,com.jpardogo.materialtabstrip.library,1.1.0
